,accNowDelinq,accOpenPast24Mths,acceptD,addrState,addrZip,allUtil,annualInc,annualIncJoint,applicationType,avgCurBal,bcOpenToBuy,bcUtil,chargeoffWithin12Mths,collections12MthsExMed,creditPullD,delinq2Yrs,delinqAmnt,desc,disbursementMethod,dti,dtiJoint,earliestCrLine,empLength,empTitle,expD,expDefaultRate,ficoRangeHigh,ficoRangeLow,fundedAmount,grade,homeOwnership,housingPayment,iLUtil,id,ilsExpD,initialListStatus,inqFi,inqLast12m,inqLast6Mths,installment,intRate,investorCount,isIncV,isIncVJoint,listD,loanAmount,maxBalBc,memberId,moSinOldIlAcct,moSinOldRevTlOp,moSinRcntRevTlOp,moSinRcntTl,mortAcc,mtgPayment,mthsSinceLastDelinq,mthsSinceLastMajorDerog,mthsSinceLastRecord,mthsSinceRcntIl,mthsSinceRecentBc,mthsSinceRecentBcDlq,mthsSinceRecentInq,mthsSinceRecentRevolDelinq,numAcctsEver120Ppd,numActvBcTl,numActvRevTl,numBcSats,numBcTl,numIlTl,numOpRevTl,numRevAccts,numRevTlBalGt0,numSats,numTl120dpd2m,numTl30dpd,numTl90gDpd24m,numTlOpPast12m,openAcc,openAcc6m,openActIl,openIl12m,openIl24m,openRv12m,openRv24m,pctTlNvrDlq,percentBcGt75,pubRec,pubRecBankruptcies,purpose,reviewStatus,reviewStatusD,revolBal,revolBalJoint,revolUtil,secAppChargeoffWithin12Mths,secAppCollections12MthsExMed,secAppEarliestCrLine,secAppFicoRangeHigh,secAppFicoRangeLow,secAppInqLast6Mths,secAppMortAcc,secAppMthsSinceLastMajorDerog,secAppNumRevAccts,secAppOpenAcc,secAppOpenActIl,secAppRevolUtil,serviceFeeRate,subGrade,taxLiens,term,totCollAmt,totCurBal,totHiCredLim,totalAcc,totalBalExMort,totalBalIl,totalBcLimit,totalCuTl,totalIlHighCreditLimit,totalRevHiLim
0,0,14,2018-04-19T06:44:40.000-07:00,TX,783xx,55.0,50000.0,,INDIVIDUAL,1158,1065,74.6,0,0,2018-04-19T06:37:05.000-07:00,0,0.0,,CASH,23.81,,1991-12-18T16:00:00.000-08:00,120.0,Maintenance ,2018-05-25T18:00:00.000-07:00,6.8,664,660,1950.0,C,RENT,40.0,92.9,131938493,2018-04-25T18:00:00.000-07:00,F,3,8,1,171.06,14.07,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,1232.0,147953476,176.0,316,7,3,0,0.0,58.0,58.0,,3.0,15,,5.0,58.0,1,3,15,3,4,21,21,26,15,23,0.0,0,0,5,23,1,2,2,3,3,11,97,66.7,0,0,credit_card,APPROVED,2018-04-25T16:29:24.000-07:00,12033.0,,36.8,,,,,,,,,,,,,1.13,C3,0,36,0,26639,48426,47,26639,14606.0,4200,2,15726,32700
1,0,4,2018-04-20T12:59:29.000-07:00,TX,785xx,78.5,95000.0,,INDIVIDUAL,23513,6346,35.9,0,0,2018-04-20T12:47:35.000-07:00,0,0.0,,CASH,31.51,,2003-03-19T16:00:00.000-08:00,120.0,Technican,2018-05-25T18:00:00.000-07:00,3.8,714,710,6925.0,B,MORTGAGE,1218.0,89.8,132012550,2018-04-25T18:00:00.000-07:00,F,1,1,0,292.15,10.41,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,9000.0,3554.0,148131983,125.0,174,17,2,3,1218.38,59.0,59.0,,2.0,32,62.0,8.0,59.0,2,1,2,3,4,10,5,8,2,11,0.0,0,0,3,11,2,5,2,2,0,1,95,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:44:58.000-07:00,9836.0,,43.9,,,,,,,,,,,,,0.96,B3,0,36,0,258644,291625,22,106978,97142.0,9900,2,116580,22400
2,0,3,2018-04-19T11:18:18.000-07:00,CA,902xx,57.8,36000.0,,INDIVIDUAL,2196,7486,57.9,0,0,2018-04-19T11:13:34.000-07:00,0,0.0,,CASH,10.67,,2003-12-18T16:00:00.000-08:00,0.0,Emt,2018-05-25T18:00:00.000-07:00,6.8,669,665,1875.0,C,RENT,1200.0,,131961664,2018-04-25T18:00:00.000-07:00,F,0,1,0,281.3,16.01,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,8000.0,3938.0,148000762,,172,5,5,0,0.0,,,89.0,,5,,0.0,,0,4,5,4,9,0,5,10,5,5,0.0,0,0,2,5,1,0,0,0,2,3,100,50.0,1,1,other,APPROVED,2018-04-25T15:59:04.000-07:00,10979.0,,57.8,,,,,,,,,,,,,1.13,C5,0,36,0,10979,19000,10,10979,0.0,17800,0,0,19000
3,0,2,2018-04-16T19:24:16.000-07:00,UT,846xx,58.9,70000.0,420000.0,JOINT,39106,5542,81.5,0,0,2018-04-12T21:51:35.000-07:00,0,0.0,,CASH,44.09,17.32,2001-04-12T17:00:00.000-07:00,84.0,Academic Advisor Admin,2018-05-25T18:00:00.000-07:00,1.86,744,740,19275.0,A,MORTGAGE,1500.0,53.6,131513842,2018-04-25T18:00:00.000-07:00,F,1,6,0,1252.72,7.96,,VERIFIED,SOURCE_VERIFIED,2018-04-25T18:00:00.000-07:00,40000.0,24352.0,147462923,204.0,61,15,12,1,1130.5,,,,12.0,15,,2.0,,0,2,2,2,3,5,3,5,2,7,0.0,0,0,1,7,0,3,1,1,0,1,100,50.0,0,0,home_improvement,APPROVED,2018-04-25T16:01:56.000-07:00,24458.0,84781.0,67.4,0.0,0.0,2005-11-12T16:00:00.000-08:00,674.0,670.0,0.0,0.0,,13.0,15.0,4.0,65.0,0.83,A5,0,36,0,273740,333278,11,92175,67717.0,30000,1,106978,36300
4,0,10,2018-04-21T05:22:13.000-07:00,MI,488xx,13.2,25300.0,88300.0,JOINT,18854,5500,0.0,0,0,2018-04-21T05:09:03.000-07:00,1,0.0,,CASH,6.69,7.62,1997-11-20T16:00:00.000-08:00,0.0,Substitute Teacher,2018-05-25T18:00:00.000-07:00,6.8,709,705,1600.0,C,MORTGAGE,1051.0,,132043170,2018-04-25T18:00:00.000-07:00,F,0,0,0,203.85,13.58,,NOT_VERIFIED,NOT_VERIFIED,2018-04-25T18:00:00.000-07:00,6000.0,0.0,148147744,245.0,142,10,7,2,2005.88,8.0,,,13.0,10,8.0,16.0,8.0,0,0,2,4,10,9,9,21,2,11,0.0,0,0,2,11,0,0,0,5,1,4,84,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:57:10.000-07:00,2945.0,20528.0,13.2,0.0,0.0,2002-11-20T16:00:00.000-08:00,669.0,665.0,1.0,2.0,,19.0,7.0,0.0,89.7,1.13,C2,0,36,96,207395,242384,32,2945,0.0,5500,7,0,22300
5,0,7,2018-04-19T16:01:24.000-07:00,CA,956xx,20.0,42000.0,,INDIVIDUAL,1538,3850,26.0,0,0,2018-04-19T15:59:14.000-07:00,0,0.0,,CASH,17.46,,1985-10-18T17:00:00.000-07:00,,,2018-05-25T18:00:00.000-07:00,6.8,679,675,1775.0,C,RENT,900.0,89.0,131969800,2018-04-25T18:00:00.000-07:00,F,0,4,2,527.43,16.01,,VERIFIED,,2018-04-25T18:00:00.000-07:00,15000.0,4689.0,148037008,14.0,390,2,2,3,0.0,,35.0,35.0,5.0,4,,2.0,,0,6,10,6,9,3,10,24,4,12,,0,0,4,13,3,2,2,2,2,5,72,16.7,1,1,debt_consolidation,APPROVED,2018-04-25T14:44:16.000-07:00,7148.0,,20.0,,,,,,,,,,,,,1.13,C5,0,36,0,18466,49177,29,18466,11318.0,23100,0,12727,36450
6,0,3,2018-04-20T08:23:57.000-07:00,TX,773xx,86.7,83800.0,,INDIVIDUAL,59898,1149,93.9,0,0,2018-04-18T06:55:34.000-07:00,0,0.0,,CASH,12.76,,1991-04-17T17:00:00.000-07:00,60.0,Account manager ,2018-05-25T18:00:00.000-07:00,4.02,699,695,15325.0,B,MORTGAGE,1580.0,90.4,131838191,2018-04-25T18:00:00.000-07:00,F,7,7,0,585.7,10.9,,VERIFIED,,2018-04-25T18:00:00.000-07:00,27000.0,17551.0,147723462,167.0,324,93,3,6,2643.89,29.0,,,5.0,213,,4.0,,0,1,2,1,1,4,3,4,2,6,0.0,0,0,3,6,2,1,1,1,0,0,92,100.0,0,0,credit_card,APPROVED,2018-04-25T14:35:07.000-07:00,23176.0,,83.7,,,,,,,,,,,,,0.68,B4,0,60,0,359390,369098,14,43914,20738.0,18700,1,22933,27700
7,0,6,2018-04-20T08:50:54.000-07:00,LA,706xx,70.4,130000.0,,INDIVIDUAL,17037,9991,53.5,0,0,2018-04-17T17:37:52.000-07:00,0,0.0,,CASH,23.99,,2000-06-17T17:00:00.000-07:00,60.0,Engineering Technician IV,2018-05-25T18:00:00.000-07:00,5.71,699,695,27050.0,C,MORTGAGE,865.0,81.0,131805248,2018-04-25T18:00:00.000-07:00,F,0,0,0,922.05,13.58,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,40000.0,6325.0,147710302,169.0,214,7,7,2,898.08,,,,14.0,23,,,,0,3,5,5,7,22,10,17,5,17,0.0,0,0,1,17,0,5,0,4,1,2,100,40.0,0,0,debt_consolidation,APPROVED,2018-04-25T16:40:29.000-07:00,38476.0,,60.6,,,,,,,,,,,,,0.78,C2,0,60,0,238520,310965,42,108018,69542.0,21500,13,105579,63500
8,0,0,2018-04-25T17:40:34.000-07:00,OH,450xx,27.7,65000.0,,INDIVIDUAL,2277,2822,32.8,0,0,2018-04-25T17:35:30.000-07:00,0,0.0,,CASH,12.52,,2002-09-25T17:00:00.000-07:00,120.0,Regional Director,2018-05-25T18:00:00.000-07:00,3.8,699,695,4850.0,B,RENT,1189.0,33.6,132292254,2018-04-25T18:00:00.000-07:00,F,2,2,0,161.15,9.92,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,1378.0,148583974,94.0,187,45,45,0,0.0,31.0,31.0,,54.0,187,,0.0,,1,1,1,1,1,3,3,3,1,4,0.0,0,0,0,4,0,1,0,0,0,0,83,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T17:51:54.000-07:00,1378.0,,13.9,,,,,,,,,,,,,0.96,B2,0,36,0,9106,32904,6,9106,7728.0,4200,1,23004,9900
9,0,3,2018-04-25T17:13:39.000-07:00,MN,561xx,58.9,44000.0,,INDIVIDUAL,3026,2349,76.5,0,0,2018-04-25T16:54:54.000-07:00,0,0.0,,CASH,22.12,,2006-09-24T17:00:00.000-07:00,24.0,Elementary Teacher,2018-05-25T18:00:00.000-07:00,3.8,769,765,7425.0,B,RENT,550.0,61.5,132274424,2018-04-25T18:00:00.000-07:00,F,0,0,0,259.69,10.41,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,8000.0,7651.0,148536593,139.0,89,19,19,0,0.0,,,,103.0,22,,19.0,,0,1,1,2,2,12,6,6,1,14,0.0,0,0,0,14,0,8,0,0,0,3,100,50.0,0,0,credit_card,APPROVED,2018-04-25T17:19:18.000-07:00,7651.0,,49.4,,,,,,,,,,,,,0.96,B3,0,36,0,42368,71940,18,42368,34717.0,10000,0,56440,15500
10,0,2,2018-04-24T10:27:30.000-07:00,VA,240xx,49.4,19450.0,,INDIVIDUAL,4358,12557,12.2,0,0,2018-04-24T10:25:18.000-07:00,0,0.0,,CASH,28.21,,2003-07-23T17:00:00.000-07:00,,,2018-05-25T18:00:00.000-07:00,3.8,804,800,4275.0,B,MORTGAGE,210.0,97.3,132180894,2018-04-25T18:00:00.000-07:00,F,0,1,1,160.01,9.43,,VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,1743.0,148333282,144.0,177,25,3,2,208.93,,,,3.0,25,,3.0,,0,1,2,2,2,4,3,3,2,6,0.0,0,0,2,6,2,2,2,2,0,0,100,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:37:22.000-07:00,2302.0,,11.4,,,,,,,,,,,,,0.96,B1,0,36,0,26146,57272,9,17867,15565.0,14300,0,16000,20200
11,0,6,2018-04-25T14:44:16.000-07:00,NJ,080xx,33.0,75000.0,,INDIVIDUAL,17879,15257,10.8,0,0,2018-04-25T14:17:54.000-07:00,0,0.0,,CASH,10.88,,1999-12-24T16:00:00.000-08:00,120.0,owner,2018-05-25T18:00:00.000-07:00,1.86,759,755,3825.0,A,MORTGAGE,2450.0,59.2,132262750,2018-04-25T18:00:00.000-07:00,F,2,3,0,146.18,6.07,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,4800.0,1750.0,148538893,220.0,131,1,1,1,2463.75,,,106.0,6.0,15,,6.0,,0,2,4,5,6,10,11,14,4,14,0.0,0,0,4,14,3,2,1,1,3,5,100,0.0,1,1,credit_card,APPROVED,2018-04-25T14:48:06.000-07:00,2834.0,,7.7,,,,,,,,,,,,,0.83,A2,0,36,0,250309,328355,25,23927,21093.0,17100,2,35655,36900
12,0,5,2018-04-24T10:35:00.000-07:00,ME,042xx,75.0,106000.0,,INDIVIDUAL,26746,7643,84.0,0,0,2018-04-24T10:29:28.000-07:00,0,0.0,,CASH,27.28,,2003-08-23T17:00:00.000-07:00,120.0,Patrol sergeant ,2018-05-25T18:00:00.000-07:00,3.8,674,670,4300.0,B,MORTGAGE,1300.0,57.0,132190431,2018-04-25T18:00:00.000-07:00,F,2,5,4,192.59,11.98,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,5800.0,23973.0,148362861,140.0,176,22,7,3,2319.63,56.0,53.0,,7.0,22,,0.0,,0,6,8,15,15,12,8,20,7,14,,0,0,2,14,0,4,1,3,0,1,100,66.7,0,0,credit_card,APPROVED,2018-04-25T14:25:56.000-07:00,45328.0,,75.0,,,,,,,,,,,,,0.96,B5,0,36,0,374454,473445,35,85785,40457.0,45860,1,70834,60360
13,0,0,2018-04-25T15:23:37.000-07:00,NY,112xx,47.7,72500.0,,INDIVIDUAL,5573,3092,86.6,0,0,2018-04-25T15:19:47.000-07:00,1,0.0,,CASH,30.72,,1991-08-24T17:00:00.000-07:00,36.0,Data Center Manager,2018-05-25T18:00:00.000-07:00,6.8,699,695,2875.0,C,RENT,1465.0,35.8,132273881,2018-04-25T18:00:00.000-07:00,F,0,0,0,147.43,12.61,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,4400.0,17582.0,148557008,260.0,320,46,25,0,0.0,8.0,,,25.0,65,8.0,21.0,8.0,0,3,3,3,3,4,5,6,3,8,0.0,0,0,0,8,0,3,0,0,0,0,90,100.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:25:51.000-07:00,19908.0,,81.3,,,,,,,,,,,,,1.13,C1,0,36,0,44586,93460,10,44586,24678.0,23000,0,68960,24500
14,0,10,2018-04-24T08:03:54.000-07:00,PA,164xx,84.3,77000.0,,INDIVIDUAL,2759,3907,57.5,0,0,2018-04-24T08:02:22.000-07:00,1,0.0,,CASH,13.84,,1996-11-23T16:00:00.000-08:00,,,2018-05-25T18:00:00.000-07:00,6.8,664,660,1250.0,C,RENT,850.0,92.9,132174010,2018-04-25T18:00:00.000-07:00,F,1,5,2,105.49,16.01,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,3000.0,1749.0,148323456,117.0,85,4,4,2,0.0,19.0,19.0,,9.0,4,,5.0,,2,8,11,9,12,8,13,19,11,14,0.0,0,1,7,14,2,1,1,1,6,9,93,44.4,0,0,moving,APPROVED,2018-04-25T15:55:18.000-07:00,7463.0,,60.7,,,,,,,,,,,,,1.13,C5,0,36,0,38627,45837,29,38627,31164.0,9200,11,33537,12300
15,0,1,2018-04-25T15:56:52.000-07:00,IL,611xx,54.4,25000.0,,INDIVIDUAL,16469,8727,45.1,0,0,2018-04-25T15:38:42.000-07:00,0,0.0,,CASH,23.33,,2005-12-24T16:00:00.000-08:00,24.0,Health unit Tech,2018-05-25T18:00:00.000-07:00,3.8,704,700,2850.0,B,MORTGAGE,700.0,77.0,132268089,2018-04-25T18:00:00.000-07:00,F,1,1,0,156.92,10.9,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,4800.0,5632.0,148551224,116.0,148,41,12,1,702.08,,,,12.0,41,,12.0,,0,2,2,3,3,4,3,3,2,5,0.0,0,0,1,5,0,1,1,1,0,0,100,66.7,0,0,other,APPROVED,2018-04-25T16:02:21.000-07:00,7173.0,,45.1,,,,,,,,,,,,,0.96,B4,0,36,0,82343,96113,8,12234,5061.0,15900,0,6572,15900
16,0,1,2018-04-24T10:48:53.000-07:00,CA,905xx,48.2,48000.0,,INDIVIDUAL,3251,13241,36.9,0,0,2018-04-24T10:41:45.000-07:00,0,0.0,,CASH,9.64,,2010-06-23T17:00:00.000-07:00,36.0,A/V Technician,2018-05-25T18:00:00.000-07:00,3.8,734,730,7875.0,B,RENT,1500.0,87.4,132180964,2018-04-25T18:00:00.000-07:00,F,0,1,0,322.3,9.92,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,10000.0,5520.0,148333361,94.0,85,30,9,0,0.0,,,,9.0,30,,10.0,,0,3,3,3,3,2,3,3,3,4,0.0,0,0,1,4,0,1,1,1,0,0,100,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:26:26.000-07:00,7759.0,,36.9,,,,,,,,,,,,,0.96,B2,0,36,0,13003,27000,5,13003,5244.0,21000,0,6000,21000
17,0,5,2018-04-24T14:13:52.000-07:00,WA,985xx,63.9,140000.0,,INDIVIDUAL,21314,3780,89.2,0,0,2018-04-24T14:11:28.000-07:00,1,0.0,,CASH,28.92,,2001-08-23T17:00:00.000-07:00,120.0,Manufacturing Support Team Member Senior,2018-05-25T18:00:00.000-07:00,3.8,664,660,2850.0,B,MORTGAGE,1820.0,52.5,132200611,2018-04-25T18:00:00.000-07:00,F,2,7,0,160.01,9.43,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,10334.0,148373055,134.0,200,11,2,3,1942.5,14.0,,,7.0,11,,5.0,,0,9,14,10,17,11,20,29,15,24,0.0,0,0,4,24,1,3,2,2,1,2,97,70.0,0,0,other,APPROVED,2018-04-25T16:48:15.000-07:00,53517.0,,70.1,,,,,,,,,,,,,0.96,B1,0,36,0,468898,516158,43,128413,74896.0,35000,2,98968,76300
18,0,5,2018-04-23T18:29:41.000-07:00,UT,840xx,76.0,120000.0,,INDIVIDUAL,25866,290,99.4,0,0,2018-04-23T08:13:55.000-07:00,0,0.0,,CASH,31.12,,1993-03-22T16:00:00.000-08:00,60.0,Senior Designer,2018-05-25T18:00:00.000-07:00,6.8,714,710,3750.0,C,MORTGAGE,1800.0,61.6,132117659,2018-04-25T18:00:00.000-07:00,F,0,0,0,208.11,15.04,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,6000.0,13371.0,148256723,116.0,135,29,14,3,1816.0,,,,14.0,29,,14.0,,0,6,8,6,8,12,8,12,8,15,0.0,0,0,0,15,0,6,0,3,0,0,100,100.0,0,0,other,APPROVED,2018-04-25T14:31:04.000-07:00,53707.0,,94.4,,,,,,,,,,,,,1.13,C4,0,36,0,387995,425933,29,98123,44416.0,49500,4,72158,56900
19,0,2,2018-04-13T10:48:09.000-07:00,AL,363xx,52.7,12000.0,,INDIVIDUAL,1318,1218,81.0,0,0,2018-04-03T06:01:44.000-07:00,0,0.0,,DIRECT_PAY,29.1,,2007-10-02T17:00:00.000-07:00,,,2018-05-25T18:00:00.000-07:00,6.8,664,660,2675.0,C,OWN,,35.6,131108531,2018-04-25T18:00:00.000-07:00,F,0,0,0,171.06,14.07,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,2462.0,146447075,126.0,71,13,13,2,0.0,54.0,54.0,,26.0,13,,,,2,3,4,3,3,5,4,5,4,5,0.0,0,0,0,5,0,1,0,0,0,2,75,66.7,0,0,debt_consolidation,APPROVED,2018-04-25T16:21:54.000-07:00,5343.0,,59.4,,,,,,,,,,,,,1.13,C3,0,36,0,6589,12500,12,6589,1246.0,6400,0,3500,9000
20,0,5,2018-04-23T13:31:45.000-07:00,NM,881xx,81.6,51600.0,,INDIVIDUAL,4807,912,77.2,0,0,2018-04-23T13:22:31.000-07:00,1,0.0,,CASH,29.8,,2012-10-22T17:00:00.000-07:00,48.0,Firefighter ,2018-05-25T18:00:00.000-07:00,6.8,689,685,1625.0,C,RENT,900.0,91.9,131875070,2018-04-25T18:00:00.000-07:00,F,3,5,1,135.9,13.58,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,4000.0,2560.0,147781782,66.0,43,4,4,0,0.0,22.0,,,8.0,4,,0.0,,0,3,7,3,3,7,9,11,7,12,0.0,0,0,3,12,1,3,2,2,1,3,94,33.3,0,0,credit_card,APPROVED,2018-04-25T14:34:44.000-07:00,6482.0,,43.2,,,,,,,,,,,,,1.13,C2,0,36,0,57681,70708,18,57681,51199.0,4000,3,55708,15000
21,0,2,2018-04-24T12:00:59.000-07:00,NM,875xx,55.6,59800.0,123800.0,JOINT,33591,12219,30.2,0,0,2018-04-24T11:55:24.000-07:00,0,0.0,,CASH,35.96,17.37,2006-02-23T16:00:00.000-08:00,96.0,Administrator,2018-05-25T18:00:00.000-07:00,1.86,719,715,2600.0,A,MORTGAGE,1440.0,66.4,132184048,2018-04-25T18:00:00.000-07:00,F,0,3,2,155.17,7.34,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-04-25T18:00:00.000-07:00,5000.0,4113.0,148336537,134.0,146,14,11,1,1436.08,78.0,,,29.0,42,,0.0,,0,2,4,2,3,7,5,7,4,9,0.0,0,0,1,9,0,3,0,0,0,1,93,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:10:10.000-07:00,15616.0,15616.0,41.9,0.0,0.0,2006-02-23T16:00:00.000-08:00,704.0,700.0,2.0,1.0,,3.0,6.0,3.0,51.7,0.83,A4,0,36,0,302317,345216,15,92421,76805.0,17500,3,95116,37300
22,0,18,2018-04-24T11:12:37.000-07:00,TX,786xx,53.3,96500.0,,INDIVIDUAL,16241,17820,48.3,0,0,2018-04-24T06:19:07.000-07:00,0,0.0,,CASH,27.25,,2006-06-23T17:00:00.000-07:00,120.0,HR Director,2018-05-25T18:00:00.000-07:00,6.8,674,670,2350.0,C,MORTGAGE,670.0,68.0,132169697,2018-04-25T18:00:00.000-07:00,F,7,7,1,173.43,15.04,,VERIFIED,,2018-04-25T18:00:00.000-07:00,5000.0,6679.0,148320049,142.0,142,1,1,4,1704.83,,,102.0,5.0,1,,2.0,,0,5,10,6,19,38,18,36,10,22,0.0,0,0,9,22,4,3,3,6,5,11,100,33.3,1,1,home_improvement,APPROVED,2018-04-25T14:40:09.000-07:00,31098.0,,44.5,,,,,,,,,,,,,1.13,C4,0,36,0,357297,400337,78,116363,85265.0,34500,6,89503,69900
